Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
Owen0214,ohiowen#skib|Owen#2879,TOP,LKMT,2,Grandmaster,Grandmaster 618 LP,,,,,,Grandmaster 618 LP,Master 1 LP,
NicoTheBest8321,Niccus#gopha|Spit On Mid#NA1,MID|BOT,LEG,2,Grandmaster,Grandmaster 549 LP,,,,Master 68 LP,Grandmaster 549 LP,Master 125 LP,,
levizxy,Prince#LuvGF|Levi#NA111,SUP,PP,2,Grandmaster,Grandmaster 491 LP,Grandmaster 491 LP,Master 261 LP,,,,Master 216 LP,,Twitch Stream
rebornmountainx,RebornMountainx#NA1,JGL,AWB,3,Grandmaster,Grandmaster 382 LP,Grandmaster 382 LP,,,,,Master 92 LP,Master 104 LP,
adlking,Alune#NA999,BOT,AWB,3,Master,Grandmaster 611 LP,,,,Master 359 LP,Master 277 LP,Grandmaster 611 LP,,
Ritty_lol,Ritty#NA1|Ritzee#NA1|ZAMNOTHY#ZAMN|fireflanz#bean,JGL,SMA,3,Master,Master 309 LP,,,,Master 176 LP,Master 228 LP,,Master 309 LP,
different_lol,Different#ADC|Demarino#NA1|Don Different#NA1|Gummyusi#NA2|QuestGoonHodgson#NA2,BOT,PP,6,Master,Grandmaster 387 LP,Master 387 LP,Grandmaster 387 LP,,Master 141 LP,,,,
ririkaririka,Ririka#6890,MID|BOT,o7,8,Master,Master 17 LP,Diamond 2 26 LP,Diamond 3 87 LP,,Master 17 LP,,,,
pandaemonium9213,His Brother#ETHAN|Pandaemonium35#NA1|Strquiphund#NA1,SUP|TOP,GF,9,Master,Master 180 LP,Master 180 LP,Master 10 LP,,Master 22 LP,,,,
borria,Borria#NA1|airroB#NA1,SUP,TWO,9,Master,Master 32 LP,Master 32 LP,Master 18 LP,,Master 12 LP,,,,
