Discord Username,Player OP.GG,Primary Role,Secondary Role,"Do you play your secondary role at the same rank / skill level as your primary role. If not, please explain why?",What are your 3 Primary Champs,Peak Rank,Current Rank,Provide insight into your playstyle. How do you like to play your role? What do you look for in your captain and teammates?
sinofarrogance,Sin of Arrogance #Lion,Top,Mid,slightly worse,Gangplank is s tier everything else is b tier,emerald 4,emerald 4,Aggressive lane phase no matter what i play
jayrich1101,https://www.op.gg/multisearch/na?summoners=peepathehound%23molly%2Cgeppettospuppet%233671%2C,ADC,,no,"ezreal, zeri, jinx",Diamond 1,Diamond 1,Play for me on god
Zombie#505,https://www.op.gg/summoners/na/Zombie-505,ADC,Jungle,yes,Twitch smolder Ashe,Emerald 2,Emerald 4,Aggressive high kill laner with the macro and good shot calls with game knowledge to back it up
Jeffreysorandom,https://www.op.gg/summoners/na/DrCutie-8888,Top,Jungle,slightly worse,"Mundo, gragas, poppy",Plat 4,Plat 4,Mundo goes where he pleases
Donny,https://www.op.gg/summoners/na/Graffiti-NA2,Mid,ADC,yes,"Akali, Yone, Ahri,Yasuo",Emerald 4,Plat 4,"I play my role aggressive, that also goes for my second role. I look for early game leads / Skirmishes with my jungle/supp. I look for a competitive team and just to have fun at the same time."
SlaveKnightKos,https://www.op.gg/summoners/na/SlaveKnightKos-Kos,Mid,Top,slightly worse,Viktor Syndra Ornn,Emerald 2,Emerald 3,"I focus on laning and teamfighting, and pick my champs accordingly. Looking for teammates/capt that actually scrim and have a stable playstyle. "
tinyseine,https://www.op.gg/multisearch/na?summoners=Thames%23NA1,Support,Mid,no,"Janna, Milio, Sona",Plat 4,Plat 4,"I'm all for trash talking and teasing my teammates, but I also like when we can snap back to keep comms clean and focus on the game we are playing. 
And i guess a calm or relaxed environment is always nice too, regardless if we are ahead or behind. "
WookieJ,https://www.op.gg/summoners/na/AmericanWarMace-NA1,Top,Jungle,no,Axe Man Punch Cat Balanced healing man,Silver 3,Bronze 2,I like to violently abuse enemy top and then play to sidelane and bully jungler
sircuckingt0n,https://www.op.gg/summoners/na/SiRCUCkiNGt0N-6969,Top,Support,yes,"Singed, Mundo, Tryndamere",Plat 4,Silver 4,"proxy, tempo, play for sidelane prio to create advantages mid"
Senpaimarvin,https://www.op.gg/summoners/na/SenpapiSavi-5245,Top,Support,yes,"Ornn, pantheon, gnar",Gold 2,Silver 1,im a mostly a tank play i dont mind being weaksided and i know my job is to peel for the adc/carry and be a menace
Hamilicar,https://www.op.gg/summoners/na/Hamilicar-NA1,ADC,Mid,slightly worse,Jinx Cait and then idk those are my main 2,Silver 2,Silver 4,I can do either aggressive or sit back and farm. I like to punish mistakes and if possible push and take tower plates if i get ahead
Sexy shawarma,https://www.op.gg/summoners/na/Sexy%20Shawarma-HALAL,Support,ADC,no,"Teemo, gragas, lee sin",Plat 1,Iron 4,Agro plus max
Scardeo,https://www.op.gg/multisearch/na?summoners=Scardeo+%2CEodracs,Top,Mid,slightly worse,"Aatrox, Renekton, Fiora",Gold 2,Silver 4,I'll fill whatever role is needed. Willing to play whatever it takes to get the win.
harmacyst,https://www.op.gg/summoners/na/harmacyst-yee,Top,ADC,yes,"Top - Darius, Yorick, Jax
Bot - Jinx, Caitlyn, Corki",Plat 4,Plat 4,"I am very flexible, I can play most ADCs at a decent level, and a wide variety of top laners as well. I like to pick based on weaknesses on our team (lacking certain damage types, lacking front line/back line). I just look for people that keep a cool head and don't tilt mainly, as well as people who also are conscious of team composition."
Preston the Celt,"https://www.op.gg/summoners/na/Preston%20the%20Celt-NA1
",Mid,Support,yes,"Ryze, Malzahar, Janna (for ADC Ezreal)",Emerald 3,Plat 4,"As long as no one is toxic I don’t really care what else my teammates and captains do. Support I am pretty aggressive and roam heavy if paired with anything other than a scaler. Mid I generally work on getting a good lead in lane via CS, XP or kills. I can also flex ADC and tend to fight often. "
