Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
Owen0214,ohiowen#skib|Owen#2879,TOP,LKMT,2,Grandmaster,Grandmaster 618 LP,Diamond 2 42 LP,Diamond 2 42 LP,Diamond 2,Diamond 2,Master 49 LP,Grandmaster 618 LP,Master 49 LP,
NicoTheBest8321,Niccus#gopha|Spit On Mid#NA1,MID|BOT,LEG,2,Grandmaster,Grandmaster 609 LP,Diamond 3 51 LP,Diamond 3 51 LP,Diamond 2,Master 103 LP,Grandmaster 609 LP,Master 306 LP,Master 25 LP,
levizxy,Prince#LuvGF|Levi#NA111,SUP,PP,2,Grandmaster,Grandmaster 491 LP,Diamond 3 5 LP,Diamond 3 5 LP,Grandmaster 491 LP,Diamond 2,Diamond 4,Master 389 LP,Diamond 1,Twitch Stream
rebornmountainx,RebornMountainx#NA1,JGL,AWB,3,Grandmaster,Grandmaster 721 LP,GrandMaster 247 LP,GrandMaster 247 LP,Grandmaster 426 LP,Grandmaster 721 LP,Master 194 LP,Master 344 LP,Master 269 LP,
adlking,Alune#NA999,BOT,AWB,3,Master,Grandmaster 680 LP,Master 0 LP,Master 0 LP,Master 155 LP,Master 506 LP,Master 439 LP,Grandmaster 680 LP,Master 263 LP,
Ritty_lol,Ritty#NA1|Ritzee#NA1|ZAMNOTHY#ZAMN|fireflanz#bean,JGL,SMA,3,Master,Grandmaster 486 LP,Master 31 LP,Master 31 LP,Master 106 LP,Master 348 LP,Grandmaster 486 LP,Master 229 LP,Master 500 LP,
different_lol,Different#ADC|Demarino#NA1|Don Different#NA1|Gummyusi#NA2|QuestGoonHodgson#NA2,BOT,PP,6,Master,Grandmaster 402 LP,Diamond 4 55 LP,Diamond 4 55 LP,Grandmaster 402 LP,Master 292 LP,Master 63 LP,Grandmaster 308 LP,Platinum 1,
ririkaririka,Ririka#6890,MID|BOT,o7,8,Master,Master 17 LP,,,Diamond 2,Master 17 LP,Diamond 4,Diamond 3,Silver 1,
pandaemonium9213,His Brother#ETHAN|Pandaemonium35#NA1|Strquiphund#NA1,SUP|TOP,GF,9,Master,Master 36 LP,Emerald 3 10 LP,Emerald 3 10 LP,Diamond 4,Master 36 LP,Diamond 1,Emerald 2,Platinum 2,
borria,Borria#NA1|airroB#NA1,SUP,TWO,9,Master,Master 32 LP,Diamond 3 37 LP,Diamond 3 37 LP,Master 32 LP,Master 12 LP,,Emerald 2,Platinum 1,
